gene	spt7.del	wt
GLO3	11.8428295905885	12.0295495113142
YCK3	10.4469902127861	10.2317131974409
DSE1	11.5522464085568	12.2079873839081
RSP5	11.2202513455947	11.0365239388112
NSA2	11.7023545262213	11.9322147519684
LCP5	10.5937085741504	11.0012181683854
YER128W	9.0865210693345	9.10933966274303
SAK1	10.886908277032	10.8430181032225
COM2	7.71903965676115	8.1955936702396
RPS26B	15.6244327949591	15.9357428776532
PMD1	9.4028479263283	9.45065865996914
GLC7	13.1718429362151	13.2516199867498
YER134C	10.4469282005053	10.3081911121819
YER135C	8.18514799146378	8.48227957751966
GDI1	11.9431887783556	11.9295136321059
YER137C	9.27669438989762	9.23635628299843
YER138W-A	14.8023699475706	16.0365857522623
RTR1	9.27318949338243	9.06734830741416
YER140W	8.78733124349642	9.06279630602173
COX15	10.914639263302	11.2916024069828
MAG1	9.20514810688072	9.28041817134473
DDI1	9.85098533511989	9.70606599459528
UBP5	9.48883631472981	9.53172064893372
FTR1	11.5200194792329	12.3989146678854
LSM5	10.2732710993855	10.4504071005999
SCC4	8.82545810970868	8.66352964139562
SPT15	11.566125409841	11.4041623112939
PEA2	9.90114294597935	10.1340925621241
SPI1	7.72147519765246	9.33375914279859
UBP3	11.0463191602256	11.1171625558707
YER152C	9.5184918637764	10.0079803364953
PET122	13.6798978927514	13.8682920546621
OXA1	10.9973276954172	11.3486507068664
BEM2	11.8297742589889	11.9381056496217
YER156C	11.6400912575132	11.919980595049
COG3	10.5453989140577	10.6250147215338
YER158C	10.057856379165	10.2045100118082
BUR6	5.71679340171893	5.68357575687113
SPT2	10.3937872780809	10.3728215392438
RAD4	9.40396853075554	9.21832347340784
YER163C	5.78711114489795	5.78136495967891
CHD1	10.1528678876734	10.2245082172996
PAB1	13.4253077082446	13.8222222636765
DNF1	10.8564955606656	10.7189437929857
BCK2	10.4789212613	10.4476205197151
CCA1	10.5831015769636	10.7233793738457
RPH1	8.88029370151051	9.48832419979258
ADK2	6.11622334169096	6.04650633920004
RAD3	10.3629410372494	10.3172203923729
BRR2	11.2721456953271	11.0419944639815
RAD24	9.12073813227651	8.99590562034804
GRX4	10.6450369130468	10.4989588751031
TMT1	8.25591610909058	9.00339703829354
ECM32	10.5834118976651	10.4186010878089
BMH1	12.1663137478899	13.4126756899541
PDA1	13.9945567435253	13.9741277431914
DMC1	8.58041310003752	8.06681035770143
ISC10	10.3426525194552	10.3889428971098
YER181C	6.05291143112881	6.08265363018693
FMP10	9.43818887130992	9.64334213809551
FAU1	10.2263038059514	10.1659244971596
YER184C	8.19585446065618	8.23455880036065
PUG1	7.81179852828717	7.9044058193357
YER186C	10.0810706098019	10.3036894354747
YER187W	6.29620959495606	7.13067351685106
YER188W	9.34358770378375	9.5698442185883
YRF1-7	14.0732127133284	14.0289679349609
DEG1	10.8553357033661	11.0414811991491
SPB4	10.5094088418386	10.4385111857538
MSH4	9.0612118595614	9.04938300103826
VTC2	13.1929030563691	12.9670857297477
SEC4	13.4255830880337	13.2350314249873
BLM10	10.1336945188381	9.91242682146857
SMC1	10.1937594252512	10.0419328818422
CDC4	10.9235577633649	10.8349924118068
WWM1	11.6350378711833	11.3810670212533
AUA1	8.98100779018838	9.15638144686111
HXT10	6.81658690755123	7.08724005496229
YFL012W	6.84779651832754	6.95825109539274
IES1	9.69989340204963	9.4598393682736
YFL012W-A	8.03170947228455	8.10647918973045
HSP12	8.31456964991058	11.2813968845063
YFL015C	6.05853080561628	6.08529929882821
MDJ1	11.1715896521581	11.12954061806
GNA1	9.28677721013533	9.40224252310684
SMX2	10.019813091959	10.4215389068483
LPD1	12.3494001121651	11.9377636850887
YFL019C	9.55169288304395	9.01538159820076
PAU5	9.86276442069933	9.65037684016244
GAT1	7.96539759057181	8.68593664539432
FRS2	11.7599464223305	12.0872871346936
BUD27	10.0676898013825	9.82008160913333
EPL1	9.95781015264376	10.3796707756202
